Name,Price,ProductDetails,Link
Asus TUF Gaming F15 Intel Core i5 16GB 512GB RTX 3050 144Hz FHD 15.6 Inch Windows 11 Home Gaming Laptop,£697.97,"Intel Core i5 11400H Processor, GeForce RTX 3050 4GB Graphics card, 15.6 Inch Full HD 144Hz Screen, 16GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/asus-tuf-gaming-f15-intel-core-i5-11400h-16gb-ram-512gb-ssd-nvidia-rtx-3050-fx506hc-hn057w/version.asp
Apple MacBook Air 2023 15.3 Inch M2 8GB RAM 256GB SSD - Space Grey,£1269.97,"M2 Processor, 15.3 Inch 2880 x 1864 Screen, 8GB RAM, 256GB SSD, 1 year warranty",https://www.laptopsdirect.co.uk/apple-macbook-air-2023-15.3-inch-m2-8gb-ram-256gb-ssd-space-grey-mqkp3b-a/version.asp
Apple MacBook Air 2023 15.3 Inch M2 8GB RAM 512GB SSD - Starlight,£1439.97,"M2 Processor, 15.3 Inch 2880 x 1864 Screen, 8GB RAM, 512GB SSD, 1 year warranty",https://www.laptopsdirect.co.uk/apple-macbook-air-2023-15.3-inch-m2-8gb-ram-512gb-ssd-starlight-mqkv3b-a/version.asp
ASUS ROG Zephyrus G16 Intel Core i9 16GB 1TB RTX 4070 240Hz WQXGA 16 Inch Windows 11 Home Gaming Laptop,£2199.97,"Intel Core i9 13900H Processor, GeForce RTX 4070 Graphics card, 16 Inch 2560 x 1600 Screen, 16GB RAM, 1TB SSD",https://www.laptopsdirect.co.uk/asus-rog-zephyrus-g16-intel-core-i9-13900h-16gb-ram-1tb-ssd-nvidia-rtx-4060-gu603vi-n4015w/version.asp
Apple MacBook Air 2023 15.3 Inch M2 8GB RAM 256GB SSD - Silver,£1269.97,"M2 Processor, 15.3 Inch 2880 x 1864 Screen, 8GB RAM, 256GB SSD, 1 year warranty",https://www.laptopsdirect.co.uk/apple-macbook-air-2023-15.3-inch-m2-8gb-ram-256gb-ssd-silver-mqkr3b-a/version.asp
"Medion Erazer Crawler E10 15.6"" FHD 60Hz Intel Core i5-10300H 8 GB 512 GB  GTX 1650 Windows 11 Home Gaming Laptop",£499.97,"Intel Core i5 10300H Processor, GeForce GTX 1650 4GB Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/medion-crawler-e10-core-i5-10300h-8gb-512gb-ssd-15.6-inch-geforce-gtx-1650-30033537/version.asp
Gigabyte G5 Intel Core i5 16GB 512GB RTX 4060 144Hz FHD 15.6 Inch Windows 11 Gaming Laptop,£897.97,"Intel Core i5 12500H Processor, GeForce RTX 4060 8GB Graphics card, 15.6 Inch Full HD 144Hz Screen, 16GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/gigabyte-g5-intel-core-i5-16gb-512gb-rtx-4060-144hz-fhd-15.6-inch-windows-1-g5-kf-e3uk313sh/version.asp
MEDION Akoya E15407 Intel Core i5 8GB RAM 256GB SSD 15.6 Inch Windows 11 Laptop,£349.97,"Intel Core i5 1035G1 Processor, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD, 2 year warranty",https://www.laptopsdirect.co.uk/medion-akoya-e15407-core-i5-1035g1-8gb-256gb-ssd-15.6-inch-full-hd-windows-30033539/version.asp
Lenovo V15 G3 Core i7 16GB RAM 512GB SSD 15.6 Inch  FHD Windows 11 Pro Laptop,£619.97,"Intel Core i7 1255U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/lenovo-v15-g3-82tt-core-i7-1255u-16gb-512gb-ssd-15.6-inch-fhd-windows-11-p-82tt007ruk/version.asp
Lenovo V15 G3 AMD Ryzen 7 16GB RAM 512GB SSD 15.6 Inch Windows 11 Pro Laptop,£529.97,"AMD Ryzen 7 5825U Processor, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD, 1-year warranty",https://www.laptopsdirect.co.uk/lenovo-v15-g3-aba-ryzen-7-16gb-512gb-ssd-15.6-inch-fhd-windows-11-pro-lapto-82tv0042uk/version.asp
Lenovo V15 IML Core i5 8GB 256GB SSD 15.6 Inch Windows 10 Pro Laptop,£409.97,"Intel Core i5 10210U Processor, UHD Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",https://www.laptopsdirect.co.uk/lenovo-v15-iml-core-i5-1021u-8gb-256gb-ssd-15.6-inch-windows-10-pro-laptop-82nb003luk/version.asp
Asus ExpertBook Core i5 8GB RAM 256GB SSD 15.6 Inch Windows 11 Pro Laptop,£399.97,"Intel Core i5 1135G7 Processor, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD, 1 year warranty",https://www.laptopsdirect.co.uk/asus-expertbook-core-i5-8gb-256gb-ssd-15.6-inch-windows-11-pro-laptop-p1511cea-eji5x/version.asp
HP 250 G9 Intel Core i7 16GB RAM 512GB SSD 15.6 Inch Windows 11 FHD Laptop,£597.97,"Intel Core i7 1255U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/hp-250-g9-laptop-intel-core-i7-1255u-16gb-512-ssd-15.6-inch-fhd-windows-11-6q947es/version.asp
Lenovo ThinkBook 15 G2 ITL Core i5 8GB 256GB SSD 15.6 Inch Windows 11 Pro Laptop,£537.97,"Intel Core i5 1135G7 Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",https://www.laptopsdirect.co.uk/lenovo-thinkbook-15-g2-itl-core-i5-1135-8gb-256gb-ssd-15.6-inch-windows-11-20ve00rpuk/version.asp
HP 250 G9 Laptop Intel Core i5 16GB 512 SSD 15.6 Inch Windows 11 Laptop,£497.97,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/hp-250-g9-laptop-intel-core-i5-16gb-512-ssd-fhd-windows-11-home-advanced-6q8c2es/version.asp
Asus Expertbook Core i3 8GB RAM 256GB SSD 15.6 Inch FHD Windows 11 Pro Laptop,£339.97,"Intel Core i3 1115G4 Processor, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD, 1 year warranty",https://www.laptopsdirect.co.uk/asus-experbook-core-i3-8gb-256gb-ssd-15.6-inch-windows-11-pro-laptop-p1511cea-eji3x/version.asp
Lenovo V15 Gen 2 Core i5 8GB RAM 512GB SSD 15.6 Inch Windows 11 Laptop,£439.97,"Intel Core i5 1135G7 Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/lenovo-v15-gen-2-core-i5-1135g7-8gb-512gb-ssd-15.6-inch-windows-11-laptop-82kb00n6uk/version.asp
Lenovo V15 G4 AMN Ryzen 5 7520U 16GB RAM 256GB SSD 15.6 inch Windows 11 Pro Laptop,£449.97,"AMD Ryzen 5 7520U Processor, AMD Radeon 610M Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 256GB SSD",https://www.laptopsdirect.co.uk/lenovo-v15-g4-amn-ryzen-5-7520u-16gb-ram-256gb-ssd-15.6-inch-82yu00hxuk/version.asp
HP 250 G9 Intel Core i7 16GB 512GB SSD 15.6 Inch FHD Windows 11 Pro Laptop,£749.97,"Intel Core i7 1255U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/hp-250-g9-intel-core-i7-1255u-16gb-512gb-ssd-15.6-inch-fhd-windows-11-pro-l-6s758ea/version.asp
Lenovo ThinkPad E15 Gen 4 Core i7-1255U 16GB 512GB SSD 15.6 Inch Windows 11 Pro Laptop,£914.97,"Intel Core i7 1255U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/lenovo-thinkpad-e15-gen-4-core-i7-1255u-16gb-512gb-ssd-15.6-inch-windows-11-21e60050uk/version.asp
Apple MacBook Pro 16 Inch M1 Pro 16GB RAM 1TB SSD 2021 - Space Grey,£1899.97,"M1 Pro M1 Processor, M1 Pro 16-Core Graphics card, 16 Inch 3456 x 2234 120Hz Screen, 16GB RAM, 1TB SSD",https://www.laptopsdirect.co.uk/apple-macbook-pro-m1-pro-10-core-cpu-16-core-gpu-1tb-ssd-16-inch-mac-os-lap-mk193b-a/version.asp
HP 250 G9 Core i5-1235U 16GB 512GB SSD 15.6 inch FHD Windows 11 Pro Laptop,£594.97,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/hp-250-g9-core-i5-16gb-adl-pro-15.6-inch-windows-11-laptop-6s6s9ea/version.asp
Lenovo 100w Gen 3 AMD 3015e 4GB RAM 128GB 11.6 Inch Windows 11 SE Laptop,£149.97,"3000 Series 3015e Processor, Radeon Graphics Graphics card, 11.6 Inch 1366 x 768 Screen, 4GB RAM, 128GB SSD",https://www.laptopsdirect.co.uk/lenovo-100w-gen-3-amd-3015e-4gb-ram-128gb-11.6-inch-windows-11s-laptop-82hy000puk/version.asp
Asus ExpertBook Core i5-1135G7 16GB 256GB SSD 15.6 Inch Windows 11 Professional Laptop,£429.97,"Intel Core i5 1135G7 Processor, 15.6 Inch Full HD Screen, 16GB RAM, 256GB SSD, 1 year warranty",https://www.laptopsdirect.co.uk/asus-expertbook-core-i5-1135g7-16gb-256gb-ssd-15.6-inch-windows-11-professi-p1511cea-eji5x-16gb/version.asp
Lenovo V15 G4 AMN AMD Ryzen 5 8GB 512GB SSD 15.6 Inch FHD Windows 11 Home,£414.97,"AMD Ryzen 5 7520U Processor, 15.6 Inch Full HD Screen, 8GB RAM, 512GB SSD, 1 year warranty",https://www.laptopsdirect.co.uk/lenovo-v15-g4-amn-amd-ryzen-5-7520u-8gb-512gb-ssd-15.6-inch-fhd-windows-11-82yu00u8uk/version.asp
Dell VOSTRO 3510 Intel Core i5 8GB 256GB SSD 15.6 Inch Windows 10 Pro Laptop,£519.97,"Intel Core i5 1135G7 Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",https://www.laptopsdirect.co.uk/-hpwyt/version.asp
Medion Akoya E15411 Intel Core i3 8GB RAM 256GB RAM SSD 15.6 Inch FHD Windows 11 Laptop,£299.97,"Intel Core i3 1115G4 Processor, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD, 2 year warranty",https://www.laptopsdirect.co.uk/medion-akoya-nb-e15411intel-core-i3-1115g4-8-gb-256-gb-ssd-15.6-fhd-window-30033828/version.asp
Lenovo V17 G3 Intel Core i5-1235U 8GB 512GB SSD 17.3 Inch Windows 11 Pro Laptop,£599.97,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 17.3 Inch Full HD Screen, 8GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/lenovo-v17-g3-intel-core-i5-1235u-8gb-512gb-ssd-17.3-inch-windows-11-pro-la-82u10002uk/version.asp
Razer Book 13 EVO Core i7-1165G7 16GB 1TB SSD UHD 13.4 Inch Windows 11 Touchscreen Laptop,£799.97,"Intel Core i7 1165G7 Processor, Iris Xe Graphics Graphics card, 13.4 Inch Ultra HD 4K Screen, 16GB RAM, 1TB SSD",https://www.laptopsdirect.co.uk/razer-book-13-evo-intel-core-i7-1165g7-16gb-ram-1tb-ssd-13.4-inch-uhd-touch-rz09-0357mwm3-r3w1/version.asp
Dell Vostro 5320 Intel Core i5-1240P 8GB 256GB SSD Iris Xe Graphics 13.3 Inch Windows 10 Pro Laptop,£479.97,"Intel Core i5 1240P Processor, Iris Xe Graphics Graphics card, 13.3 Inch 1920 x 1200 Screen, 8GB RAM, 256GB SSD",https://www.laptopsdirect.co.uk/dell-vostro-5320-i5-1240p-adl-p-i5-cpu-u28-8g-mem-hw-tpm-evo-label-8-gb-lpd-0yptc/version.asp
Lenovo V15 Intel Core i5-1235U 8GB RAM 256GB SSD 15.6 Inch FHD Windows 11 Pro Laptop,£469.97,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",https://www.laptopsdirect.co.uk/lenovo-v15-intel-core-i5-1235u-8gb-ram-256gb-ssd-windows-11-pro-laptop-82tt0008uk/version.asp
Refurbished HP EliteBook 840 G3 Ultrabook Core i5 6th gen 8GB 256GB 14 Inch Windows 10 Professional Laptop,£229.97,"Intel Core i5 6200U Processor, 14 Inch 1366 x 768 Screen, 8GB RAM, 256GB SSD, 1 year warranty",https://www.laptopsdirect.co.uk/refurbished-hp-elitebook-840-g3-ultrabook-core-i5-6300u-8gb-256gb-14-inch-w-t1-840g3-256gb/version.asp
Refurbished Asus C523 Intel Celeron N3350 4GB 64GB 15.6 Inch Chromebook,£169.97,"Intel Celeron N3350 Processor, 15.6 Inch Full HD Screen, 4GB RAM, 64GB SSD, 3 Month Warranty",https://www.laptopsdirect.co.uk/refurbished-asus-c523-intel-celeron-n3350-4gb-64gb-15.6-inch-chromebook-a1-c523na-ej0178/version.asp
HP 255 G9 AMD Ryzen 5 8GB RAM 512GB SSD 15.6 Inch FHD Windows 11 Laptop,£414.97,"AMD Ryzen 5 5625U Processor, Radeon Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/hp-255-g9-amd-r5-5625u-8gb-512gb-ssd-15-inch-fhd-windows-11-home-laptop-6q8c1es/version.asp
Medion Akoya E15309 - Ryzen 3-5300U 8GB 256GB SSD 15.6 Inch Windows 11 Laptop,£299.97,"AMD Ryzen 3 5300U Processor, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD, 2 year warranty",https://www.laptopsdirect.co.uk/medion-akoya-e15309-ryzen-3-5300u-8gb-256gb-ssd-15.6-inch-fhd-windows-11-30033825/version.asp
Dell Vostro 3520 Intel Core i5 8GB RAM 256GB SSD 15.6 Inch Windows 11 Pro Laptop,£499.97,"Intel Core i5 I5-1135G7 Processor, UHD Graphics Graphics card, 15.6 Inch Full HD 120Hz Screen, 8GB RAM, 256GB SSD",https://www.laptopsdirect.co.uk/dell-vostro-3520-intel-core-i5-8gb-ram-256gb-ssd-15.6-inch-windows-11-pro-l-wk7gy/version.asp
